"HLTH_PB","GEO","UNIT","LEV_LIMIT","ISCED11","TIME","SEX","AGE","Value","Flag and Footnotes"
"Total","Greece","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","72.1",""
"Total","Greece","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","9.8",""
"Total","Greece","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","14.2",""
"Total","Greece","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","19.4",""
"Total","Greece","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","40.1",""
"Total","Greece","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","83.1",""
"Total","Greece","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","2.1",""
"Total","Greece","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","2.1",""
"Total","Greece","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","2.8",""
"Total","Greece","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","5.3",""
"Total","Greece","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","30.6",""
"Total","Greece","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","0.4",""
"Total","Greece","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","1.4",""
"Total","Greece","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","2.3",""
"Total","Greece","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","7.7",""
"Total","Greece","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","42.0",""
"Total","Greece","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","91.8",""
"Total","Greece","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","85.5",""
"Total","Greece","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","80.6",""
"Total","Greece","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","67.2",""
"Total","Greece","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","27.9",""
"Total","Greece","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","90.2",""
"Total","Greece","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","85.8",""
"Total","Greece","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","80.6",""
"Total","Greece","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","59.9",""
"Total","Greece","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","16.9",""
"Total","Spain","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","9.8",""
"Total","Spain","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","8.7",""
"Total","Spain","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","15.6",""
"Total","Spain","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","25.8",""
"Total","Spain","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","35.3",""
"Total","Spain","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","10.1",""
"Total","Spain","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","10.9",""
"Total","Spain","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","14.8",""
"Total","Spain","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","24.1",""
"Total","Spain","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","33.5",""
"Total","Spain","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","11.3",""
"Total","Spain","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","10.4",""
"Total","Spain","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","18.4",""
"Total","Spain","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","34.0",""
"Total","Spain","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","62.7",""
"Total","Spain","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","11.1",""
"Total","Spain","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","12.8",""
"Total","Spain","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","17.6",""
"Total","Spain","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","32.7",""
"Total","Spain","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","69.7",""
"Total","Spain","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","1.5",""
"Total","Spain","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","1.7",""
"Total","Spain","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","2.8",""
"Total","Spain","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","8.1",""
"Total","Spain","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","27.4",""
"Total","Spain","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","1.0",""
"Total","Spain","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","1.8",""
"Total","Spain","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","2.7",""
"Total","Spain","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","8.5",""
"Total","Spain","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","36.3",""
"Total","Spain","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","88.7",""
"Total","Spain","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","89.6",""
"Total","Spain","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","81.6",""
"Total","Spain","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","66.0",""
"Total","Spain","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","37.3",""
"Total","Spain","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","88.9",""
"Total","Spain","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","87.2",""
"Total","Spain","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","82.4",""
"Total","Spain","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","67.3",""
"Total","Spain","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","30.3",""
"Total","France","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","16.6",""
"Total","France","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","22.9",""
"Total","France","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","31.7",""
"Total","France","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","43.5",""
"Total","France","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","45.0",""
"Total","France","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","24.9",""
"Total","France","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","27.2",""
"Total","France","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","28.5",""
"Total","France","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","41.4",""
"Total","France","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","35.9",""
"Total","France","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","18.3",""
"Total","France","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","26.5",""
"Total","France","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","36.0",""
"Total","France","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","54.0",""
"Total","France","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","73.2",""
"Total","France","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","27.1",""
"Total","France","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","29.3",""
"Total","France","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","33.0",""
"Total","France","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","50.3",""
"Total","France","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","69.2",""
"Total","France","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","1.6",""
"Total","France","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","3.6",""
"Total","France","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","4.3",""
"Total","France","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","10.5",""
"Total","France","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","28.2",""
"Total","France","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","2.2",""
"Total","France","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","2.1",""
"Total","France","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","4.5",""
"Total","France","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","8.9",""
"Total","France","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","33.3",""
"Total","France","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","81.7",""
"Total","France","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","73.5",""
"Total","France","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","64.0",""
"Total","France","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","46.0",""
"Total","France","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","26.8",""
"Total","France","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","72.9",""
"Total","France","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","70.7",""
"Total","France","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","67.0",""
"Total","France","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","49.7",""
"Total","France","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","30.8",""
"Total","Croatia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","6.3",""
"Total","Croatia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","8.6",""
"Total","Croatia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","18.6",""
"Total","Croatia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","32.1",""
"Total","Croatia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","38.7",""
"Total","Croatia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","7.4",""
"Total","Croatia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","13.0",""
"Total","Croatia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","22.1",""
"Total","Croatia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","32.3",""
"Total","Croatia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","36.1",""
"Total","Croatia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","7.5",""
"Total","Croatia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","10.5",""
"Total","Croatia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","20.6",""
"Total","Croatia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","41.8",""
"Total","Croatia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","71.5",""
"Total","Croatia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","8.2",""
"Total","Croatia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","13.2",""
"Total","Croatia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","24.5",""
"Total","Croatia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","43.9",""
"Total","Croatia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","77.8",""
"Total","Croatia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","1.2",""
"Total","Croatia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","1.9",""
"Total","Croatia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","2.0",""
"Total","Croatia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","9.7",""
"Total","Croatia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","32.9",""
"Total","Croatia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","0.8",""
"Total","Croatia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","0.2",""
"Total","Croatia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","2.4",""
"Total","Croatia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","11.6",""
"Total","Croatia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","41.7",""
"Total","Croatia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","92.5",""
"Total","Croatia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","89.5",""
"Total","Croatia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","79.4",""
"Total","Croatia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","58.2",""
"Total","Croatia","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","28.5",""
"Total","Croatia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","91.8",""
"Total","Croatia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","86.8",""
"Total","Croatia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","75.5",""
"Total","Croatia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","56.1",""
"Total","Croatia","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","22.2",""
"Total","Italy","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","6.7",""
"Total","Italy","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","10.2",""
"Total","Italy","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","14.1",""
"Total","Italy","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","29.2",""
"Total","Italy","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","43.8",""
"Total","Italy","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","10.4",""
"Total","Italy","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","13.1",""
"Total","Italy","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","17.7",""
"Total","Italy","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","30.5",""
"Total","Italy","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","38.2",""
"Total","Italy","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","7.7",""
"Total","Italy","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","11.2",""
"Total","Italy","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","16.1",""
"Total","Italy","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","34.3",""
"Total","Italy","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","66.6",""
"Total","Italy","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","12.2",""
"Total","Italy","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","14.4",""
"Total","Italy","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","19.6",""
"Total","Italy","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","36.9",""
"Total","Italy","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","73.6",""
"Total","Italy","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","1.0",""
"Total","Italy","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","1.0",""
"Total","Italy","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","2.0",""
"Total","Italy","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","5.1",""
"Total","Italy","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","22.8",""
"Total","Italy","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","1.8",""
"Total","Italy","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","1.3",""
"Total","Italy","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","1.9",""
"Total","Italy","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","6.4",""
"Total","Italy","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","35.4",""
"Total","Italy","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","92.3",""
"Total","Italy","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","88.8",""
"Total","Italy","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","83.9",""
"Total","Italy","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","65.7",""
"Total","Italy","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","33.4",""
"Total","Italy","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","87.8",""
"Total","Italy","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","85.6",""
"Total","Italy","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","80.4",""
"Total","Italy","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","63.1",""
"Total","Italy","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","26.4",""
"Total","Cyprus","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","2.5",""
"Total","Cyprus","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","3.6",""
"Total","Cyprus","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","5.5",""
"Total","Cyprus","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","15.6",""
"Total","Cyprus","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","30.9",""
"Total","Cyprus","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","4.9",""
"Total","Cyprus","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","3.4",""
"Total","Cyprus","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","6.5",""
"Total","Cyprus","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","17.2",""
"Total","Cyprus","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","22.5",""
"Total","Cyprus","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","2.6",""
"Total","Cyprus","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","4.9",""
"Total","Cyprus","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","7.4",""
"Total","Cyprus","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","22.0",""
"Total","Cyprus","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","58.6",""
"Total","Cyprus","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","5.6",""
"Total","Cyprus","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","5.8",""
"Total","Cyprus","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","10.5",""
"Total","Cyprus","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","24.0",""
"Total","Cyprus","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","65.5",""
"Total","Cyprus","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","0.2",""
"Total","Cyprus","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","1.3",""
"Total","Cyprus","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","2.0",""
"Total","Cyprus","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","6.4",""
"Total","Cyprus","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","27.7",""
"Total","Cyprus","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","0.6",""
"Total","Cyprus","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","2.3",""
"Total","Cyprus","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","4.0",""
"Total","Cyprus","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","6.8",""
"Total","Cyprus","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","43.0",""
"Total","Cyprus","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","97.4",""
"Total","Cyprus","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","95.1",""
"Total","Cyprus","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","92.6",""
"Total","Cyprus","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","78.0",""
"Total","Cyprus","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","41.4",""
"Total","Cyprus","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","94.4",""
"Total","Cyprus","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","94.2",""
"Total","Cyprus","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","89.5",""
"Total","Cyprus","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","76.0",""
"Total","Cyprus","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","34.5",""
"Total","Latvia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","13.1",""
"Total","Latvia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","12.8",""
"Total","Latvia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","22.7",""
"Total","Latvia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","39.3",""
"Total","Latvia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","45.9",""
"Total","Latvia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","19.9",""
"Total","Latvia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","20.2",""
"Total","Latvia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","26.5",""
"Total","Latvia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","40.9",""
"Total","Latvia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","43.5",""
"Total","Latvia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","15.2",""
"Total","Latvia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","14.1",""
"Total","Latvia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","24.9",""
"Total","Latvia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","47.0",""
"Total","Latvia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","75.0",""
"Total","Latvia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","22.3",""
"Total","Latvia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","21.8",""
"Total","Latvia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","28.1",""
"Total","Latvia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","47.8",""
"Total","Latvia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","79.5",""
"Total","Latvia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","2.1",""
"Total","Latvia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","1.3",""
"Total","Latvia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","2.2",""
"Total","Latvia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","7.7",""
"Total","Latvia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","29.1",""
"Total","Latvia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","2.3",""
"Total","Latvia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","1.6",""
"Total","Latvia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","1.5",""
"Total","Latvia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","6.9",""
"Total","Latvia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","36.0",""
"Total","Latvia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","84.8",""
"Total","Latvia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","85.9",""
"Total","Latvia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","75.1",""
"Total","Latvia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","53.0",""
"Total","Latvia","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","25.0",""
"Total","Latvia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","77.7",""
"Total","Latvia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","78.2",""
"Total","Latvia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","71.9",""
"Total","Latvia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","52.2",""
"Total","Latvia","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","20.5",""
"Total","Lithuania","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","5.9",""
"Total","Lithuania","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","7.7",""
"Total","Lithuania","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","15.1",""
"Total","Lithuania","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","32.1",""
"Total","Lithuania","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","49.4",""
