"FREQUENC","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"Every day","Turkey","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","0.4",""
"Every day","Turkey","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","0.8",""
"Every day","Turkey","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","1.0",""
"Every day","Turkey","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","1.7",""
"Every day","Turkey","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.5",""
"Every day","Turkey","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0",""
"Every day","Turkey","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","0.3",""
"Every day","Turkey","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","0.1",""
"Every day","Turkey","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","0.0",""
"Every day","Turkey","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","0",""
"Every week","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","45.4","u"
"Every week","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","49.0","u"
"Every week","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","53.3","u"
"Every week","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","44.9","u"
"Every week","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","34.1","u"
"Every week","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","33.1","u"
"Every week","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","25.5","u"
"Every week","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","37.1","u"
"Every week","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","33.8",""
"Every week","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","26.0","u"
"Every week","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","16.8",""
"Every week","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","28.2",""
"Every week","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","34.5",""
"Every week","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","34.9",""
"Every week","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","22.9",""
"Every week","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","6.2",""
"Every week","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","13.0",""
"Every week","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","15.1",""
"Every week","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","13.8",""
"Every week","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","6.0",""
"Every week","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","44.2",""
"Every week","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","53.0",""
"Every week","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","48.5",""
"Every week","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","47.5",""
"Every week","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","36.1",""
"Every week","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","21.5",""
"Every week","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","25.7",""
"Every week","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","31.0",""
"Every week","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","26.0",""
"Every week","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","15.6",""
"Every week","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","29.4",""
"Every week","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","44.8",""
"Every week","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","50.0",""
"Every week","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","53.1",""
"Every week","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","42.7",""
"Every week","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","22.6",""
"Every week","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","23.7",""
"Every week","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","32.2",""
"Every week","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","43.6",""
"Every week","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","38.8",""
"Every week","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","38.9",""
"Every week","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","51.6",""
"Every week","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","48.4",""
"Every week","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","49.3",""
"Every week","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","42.1",""
"Every week","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","26.3",""
"Every week","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","28.8",""
"Every week","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","32.9",""
"Every week","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","39.2",""
"Every week","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","29.4",""
"Every week","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","23.4",""
"Every week","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","35.6",""
"Every week","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","35.6",""
"Every week","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","28.9",""
"Every week","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","14.8",""
"Every week","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","10.7",""
"Every week","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","17.3",""
"Every week","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","15.7",""
"Every week","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","8.6",""
"Every week","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","1.7",""
"Every week","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","33.2",""
"Every week","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","42.1",""
"Every week","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","49.3",""
"Every week","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","53.8",""
"Every week","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","41.8",""
"Every week","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","29.4",""
"Every week","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","32.4",""
"Every week","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","40.5",""
"Every week","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","46.5",""
"Every week","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","26.8",""
"Every week","Greece","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","31.8",""
"Every week","Greece","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","44.3",""
"Every week","Greece","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","31.5",""
"Every week","Greece","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","33.8",""
"Every week","Greece","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","22.8",""
"Every week","Greece","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","24.6",""
"Every week","Greece","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","19.8",""
"Every week","Greece","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","19.9",""
"Every week","Greece","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","16.4",""
"Every week","Greece","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","7.2",""
"Every week","Spain","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","28.4",""
"Every week","Spain","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","37.1",""
"Every week","Spain","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","34.8",""
"Every week","Spain","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","26.0",""
"Every week","Spain","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","13.4",""
"Every week","Spain","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","15.5",""
"Every week","Spain","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","21.0",""
"Every week","Spain","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","20.8",""
"Every week","Spain","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","20.7",""
"Every week","Spain","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","7.0",""
"Every week","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","11.1",""
"Every week","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","24.6",""
"Every week","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","29.1",""
"Every week","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","24.5",""
"Every week","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","19.1",""
"Every week","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","4.5",""
"Every week","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","7.9",""
"Every week","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","11.1",""
"Every week","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","9.6",""
"Every week","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","6.3",""
"Every week","Italy","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","28.9","d"
"Every week","Italy","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","46.9","d"
"Every week","Italy","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","42.2","d"
"Every week","Italy","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","33.7","d"
"Every week","Italy","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","20.8","d"
"Every week","Italy","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","14.4","d"
"Every week","Italy","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","20.1","d"
"Every week","Italy","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","20.4","d"
"Every week","Italy","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","18.3","d"
"Every week","Italy","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","10.3","d"
"Every week","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","16.4",""
"Every week","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","30.2",""
"Every week","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","31.7",""
"Every week","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","27.9",""
"Every week","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","24.3",""
"Every week","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","8.5",""
"Every week","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","9.7",""
"Every week","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","8.2",""
"Every week","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","8.9",""
"Every week","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","4.2",""
"Every week","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","12.2",""
"Every week","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","27.1",""
"Every week","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","25.9",""
"Every week","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","22.7",""
"Every week","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","10.7",""
"Every week","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","7.9",""
"Every week","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","12.9",""
"Every week","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","13.7",""
"Every week","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","7.0",""
"Every week","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","2.3",""
"Every week","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","11.6",""
"Every week","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","25.8",""
"Every week","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","29.7",""
"Every week","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","27.0",""
"Every week","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","13.0",""
"Every week","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","5.6",""
"Every week","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","6.9",""
"Every week","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","9.2",""
"Every week","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","5.4",""
"Every week","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","1.5",""
"Every week","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","33.5",""
"Every week","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","54.3",""
"Every week","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","48.4",""
"Every week","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","50.7",""
"Every week","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","43.7",""
"Every week","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","18.8",""
"Every week","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","31.1",""
"Every week","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","39.0",""
"Every week","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","42.1",""
"Every week","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","30.7",""
"Every week","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","21.7",""
"Every week","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","25.6",""
"Every week","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","28.3",""
"Every week","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","28.9",""
"Every week","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","20.4",""
"Every week","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","6.3",""
"Every week","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","8.9",""
"Every week","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","7.3",""
"Every week","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","9.5",""
"Every week","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","7.3",""
"Every week","Malta","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","52.1",""
"Every week","Malta","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","44.3",""
"Every week","Malta","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","37.5",""
"Every week","Malta","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","33.3",""
"Every week","Malta","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","19.5",""
"Every week","Malta","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","34.4",""
"Every week","Malta","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","26.6",""
"Every week","Malta","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","22.2",""
"Every week","Malta","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","18.0",""
"Every week","Malta","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","10.0",""
"Every week","Austria","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","36.2",""
"Every week","Austria","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","42.6",""
"Every week","Austria","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","43.7",""
"Every week","Austria","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","46.1",""
"Every week","Austria","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","36.8",""
"Every week","Austria","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","21.1",""
"Every week","Austria","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","18.0",""
"Every week","Austria","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","20.3",""
"Every week","Austria","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","25.4",""
"Every week","Austria","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","19.4",""
"Every week","Poland","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","16.7",""
"Every week","Poland","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","33.1",""
"Every week","Poland","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","32.3",""
"Every week","Poland","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","24.8",""
"Every week","Poland","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","14.0",""
"Every week","Poland","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","7.9",""
"Every week","Poland","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","13.3",""
"Every week","Poland","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","11.8",""
"Every week","Poland","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","7.6",""
"Every week","Poland","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","2.8",""
"Every week","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","28.0",""
"Every week","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","39.1",""
"Every week","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","34.7",""
"Every week","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","21.7",""
"Every week","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","12.3",""
"Every week","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","10.8",""
"Every week","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","14.4",""
"Every week","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","14.9",""
"Every week","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","17.9",""
"Every week","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","7.9",""
"Every week","Romania","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","9.6",""
"Every week","Romania","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","29.7",""
"Every week","Romania","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","31.6",""
"Every week","Romania","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","32.0",""
"Every week","Romania","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","19.6",""
"Every week","Romania","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","1.3",""
"Every week","Romania","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","5.1",""
"Every week","Romania","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","7.0",""
"Every week","Romania","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","6.0",""
"Every week","Romania","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","3.7",""
"Every week","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","28.3",""
"Every week","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","40.0",""
"Every week","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","39.5",""
"Every week","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","38.3",""
"Every week","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","33.8",""
"Every week","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","14.7",""
"Every week","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","18.5",""
"Every week","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","16.9",""
"Every week","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","16.6",""
"Every week","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","16.1",""
"Every week","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","18.8",""
"Every week","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","25.3",""
"Every week","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","27.4",""
"Every week","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","29.4",""
"Every week","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","17.9",""
"Every week","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","6.4",""
"Every week","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","8.5",""
"Every week","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","11.1",""
"Every week","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","8.0",""
"Every week","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","2.7",""
"Every week","Finland","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","26.5",""
"Every week","Finland","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","45.3",""
"Every week","Finland","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","52.6",""
"Every week","Finland","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","53.0",""
"Every week","Finland","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","39.2",""
"Every week","Finland","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","19.2",""
"Every week","Finland","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","23.3",""
"Every week","Finland","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","32.2",""
"Every week","Finland","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","38.5",""
"Every week","Finland","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","20.8",""
"Every week","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","17.1",""
"Every week","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","36.3",""
"Every week","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","46.6",""
"Every week","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","52.3",""
"Every week","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","41.7",""
"Every week","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","14.2",""
"Every week","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","25.5",""
"Every week","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","35.8",""
"Every week","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","42.9",""
"Every week","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","33.6",""
"Every week","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","37.0",""
"Every week","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","53.2",""
"Every week","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","52.1",""
"Every week","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","57.4",""
"Every week","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","45.2",""
"Every week","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","29.7",""
"Every week","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","35.6",""
"Every week","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","46.4",""
"Every week","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","46.9",""
"Every week","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","32.3",""
"Every week","Iceland","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","10.6",""
"Every week","Iceland","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","26.7",""
"Every week","Iceland","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","23.4",""
"Every week","Iceland","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","33.9",""
"Every week","Iceland","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","24.3",""
"Every week","Iceland","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","7.6",""
"Every week","Iceland","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","12.2",""
"Every week","Iceland","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","14.0",""
"Every week","Iceland","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","19.9",""
"Every week","Iceland","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","11.3",""
