"SMOKING","GEO","UNIT","ISCED11","SEX","AGE","TIME","Value","Flag and Footnotes"
"Non-smoker","Sweden","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","83.0",""
"Non-smoker","Sweden","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","87.8",""
"Non-smoker","Sweden","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","82.2",""
"Non-smoker","Sweden","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","84.8",""
"Non-smoker","Sweden","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","84.9",""
"Non-smoker","Sweden","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","79.8",""
"Non-smoker","Sweden","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","89.2",""
"Non-smoker","United Kingdom","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","82.1",""
"Non-smoker","United Kingdom","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","73.5",""
"Non-smoker","United Kingdom","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","76.6",""
"Non-smoker","United Kingdom","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","81.4",""
"Non-smoker","United Kingdom","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","90.4",""
"Non-smoker","United Kingdom","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","82.6",""
"Non-smoker","United Kingdom","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","78.2",""
"Non-smoker","United Kingdom","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","84.1",""
"Non-smoker","United Kingdom","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","82.9",""
"Non-smoker","United Kingdom","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","91.7",""
"Non-smoker","Iceland","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","80.8",""
"Non-smoker","Iceland","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","72.7",""
"Non-smoker","Iceland","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","80.5",""
"Non-smoker","Iceland","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","78.3",""
"Non-smoker","Iceland","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","87.3",""
"Non-smoker","Iceland","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","83.7",""
"Non-smoker","Iceland","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","79.8",""
"Non-smoker","Iceland","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","81.6",""
"Non-smoker","Iceland","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","82.7",""
"Non-smoker","Iceland","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","86.2",""
"Non-smoker","Norway","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","78.9",""
"Non-smoker","Norway","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","77.7",""
"Non-smoker","Norway","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","79.6",""
"Non-smoker","Norway","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","74.5",""
"Non-smoker","Norway","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","86.0",""
"Non-smoker","Norway","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","85.7",""
"Non-smoker","Norway","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","83.1",""
"Non-smoker","Norway","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","78.4",""
"Non-smoker","Norway","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","74.6",""
"Non-smoker","Norway","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","87.3",""
"Non-smoker","Turkey","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","62.5",""
"Non-smoker","Turkey","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","41.9",""
"Non-smoker","Turkey","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","43.8",""
"Non-smoker","Turkey","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","51.5",""
"Non-smoker","Turkey","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","78.0",""
"Non-smoker","Turkey","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","90.7",""
"Non-smoker","Turkey","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","74.6",""
"Non-smoker","Turkey","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","73.4",""
"Non-smoker","Turkey","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","82.0",""
"Non-smoker","Turkey","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","95.1",""
"Daily smoker","Belgium","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","15.4","u"
"Daily smoker","Belgium","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","26.2","u"
"Daily smoker","Belgium","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","26.9","u"
"Daily smoker","Belgium","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","23.8","u"
"Daily smoker","Belgium","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","12.9","u"
"Daily smoker","Belgium","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","19.1","u"
"Daily smoker","Belgium","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","12.5","u"
"Daily smoker","Belgium","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","20.2","u"
"Daily smoker","Belgium","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","21.9","u"
"Daily smoker","Belgium","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","6.9","u"
"Daily smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","25.5",""
"Daily smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","45.8",""
"Daily smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","48.3",""
"Daily smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","43.1",""
"Daily smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","13.0",""
"Daily smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","16.7",""
"Daily smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","29.9",""
"Daily smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","36.4",""
"Daily smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","22.8",""
"Daily smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","4.1",""
"Daily smoker","Czechia","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","23.8",""
"Daily smoker","Czechia","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","36.0",""
"Daily smoker","Czechia","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","29.3",""
"Daily smoker","Czechia","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","29.9",""
"Daily smoker","Czechia","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","17.0",""
"Daily smoker","Czechia","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","6.1",""
"Daily smoker","Czechia","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","16.8",""
"Daily smoker","Czechia","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","21.4",""
"Daily smoker","Czechia","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","21.5",""
"Daily smoker","Czechia","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","7.3",""
"Daily smoker","Denmark","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","9.7",""
"Daily smoker","Denmark","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","14.7",""
"Daily smoker","Denmark","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","16.5",""
"Daily smoker","Denmark","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","17.9",""
"Daily smoker","Denmark","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","15.1",""
"Daily smoker","Denmark","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","10.1",""
"Daily smoker","Denmark","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","11.1",""
"Daily smoker","Denmark","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","11.2",""
"Daily smoker","Denmark","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","17.4",""
"Daily smoker","Denmark","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","8.8",""
"Daily smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","13.0",""
"Daily smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","24.8",""
"Daily smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","22.9",""
"Daily smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","21.2",""
"Daily smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","7.2",""
"Daily smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","12.1",""
"Daily smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","17.6",""
"Daily smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","17.0",""
"Daily smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","18.1",""
"Daily smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","5.6",""
"Daily smoker","Estonia","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","28.5",""
"Daily smoker","Estonia","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","32.9",""
"Daily smoker","Estonia","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","35.7",""
"Daily smoker","Estonia","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","42.0",""
"Daily smoker","Estonia","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","16.4",""
"Daily smoker","Estonia","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","15.0",""
"Daily smoker","Estonia","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","19.3",""
"Daily smoker","Estonia","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","18.7",""
"Daily smoker","Estonia","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","20.9",""
"Daily smoker","Estonia","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","5.0",""
"Daily smoker","Ireland","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","15.1",""
"Daily smoker","Ireland","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","19.8",""
"Daily smoker","Ireland","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","13.4",""
"Daily smoker","Ireland","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","17.2",""
"Daily smoker","Ireland","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","10.2",""
"Daily smoker","Ireland","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","17.0",""
"Daily smoker","Ireland","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","16.7",""
"Daily smoker","Ireland","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","13.1",""
"Daily smoker","Ireland","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","13.6",""
"Daily smoker","Ireland","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","8.9",""
"Daily smoker","Greece","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","23.7",""
"Daily smoker","Greece","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","45.4",""
"Daily smoker","Greece","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","44.7",""
"Daily smoker","Greece","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","39.2",""
"Daily smoker","Greece","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","15.3",""
"Daily smoker","Greece","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","13.4",""
"Daily smoker","Greece","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","27.8",""
"Daily smoker","Greece","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","32.3",""
"Daily smoker","Greece","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","27.6",""
"Daily smoker","Greece","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","6.7",""
"Daily smoker","Spain","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","21.4",""
"Daily smoker","Spain","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","35.1",""
"Daily smoker","Spain","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","32.7",""
"Daily smoker","Spain","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","31.4",""
"Daily smoker","Spain","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","12.8",""
"Daily smoker","Spain","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","15.5",""
"Daily smoker","Spain","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","24.8",""
"Daily smoker","Spain","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","24.5",""
"Daily smoker","Spain","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","24.0",""
"Daily smoker","Spain","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","3.9",""
"Daily smoker","France","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","26.1",""
"Daily smoker","France","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","37.8",""
"Daily smoker","France","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","32.4",""
"Daily smoker","France","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","27.1",""
"Daily smoker","France","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","8.5",""
"Daily smoker","France","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","21.0",""
"Daily smoker","France","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","26.4",""
"Daily smoker","France","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","28.4",""
"Daily smoker","France","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","20.0",""
"Daily smoker","France","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","5.6",""
"Daily smoker","Croatia","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","23.2",""
"Daily smoker","Croatia","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","35.5",""
"Daily smoker","Croatia","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","37.6",""
"Daily smoker","Croatia","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","34.1",""
"Daily smoker","Croatia","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","13.3",""
"Daily smoker","Croatia","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","17.6",""
"Daily smoker","Croatia","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","27.5",""
"Daily smoker","Croatia","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","28.8",""
"Daily smoker","Croatia","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","26.4",""
"Daily smoker","Croatia","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","6.7",""
"Daily smoker","Italy","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","15.2",""
"Daily smoker","Italy","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","31.4",""
"Daily smoker","Italy","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","30.4",""
"Daily smoker","Italy","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","24.4",""
"Daily smoker","Italy","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","11.6",""
"Daily smoker","Italy","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","11.2",""
"Daily smoker","Italy","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","17.2",""
"Daily smoker","Italy","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","15.0",""
"Daily smoker","Italy","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","17.8",""
"Daily smoker","Italy","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","6.8",""
"Daily smoker","Cyprus","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","33.2",""
"Daily smoker","Cyprus","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","49.5",""
"Daily smoker","Cyprus","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","43.1",""
"Daily smoker","Cyprus","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","39.7",""
"Daily smoker","Cyprus","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","20.8",""
"Daily smoker","Cyprus","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","9.1",""
"Daily smoker","Cyprus","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","24.6",""
"Daily smoker","Cyprus","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","17.5",""
"Daily smoker","Cyprus","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","12.9",""
"Daily smoker","Cyprus","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","4.4",""
"Daily smoker","Latvia","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","25.2",""
"Daily smoker","Latvia","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","43.3",""
"Daily smoker","Latvia","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","49.1",""
"Daily smoker","Latvia","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","40.8",""
"Daily smoker","Latvia","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","20.1",""
"Daily smoker","Latvia","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","15.3",""
"Daily smoker","Latvia","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","17.4",""
"Daily smoker","Latvia","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","21.9",""
"Daily smoker","Latvia","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","17.8",""
"Daily smoker","Latvia","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","5.5",""
"Daily smoker","Lithuania","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","18.6",""
"Daily smoker","Lithuania","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","42.0",""
"Daily smoker","Lithuania","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","40.2",""
"Daily smoker","Lithuania","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","42.8",""
"Daily smoker","Lithuania","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","17.5",""
"Daily smoker","Lithuania","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","8.5",""
"Daily smoker","Lithuania","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","16.3",""
"Daily smoker","Lithuania","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","15.4",""
"Daily smoker","Lithuania","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","10.5",""
"Daily smoker","Lithuania","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","1.1",""
"Daily smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","17.6",""
"Daily smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","20.0",""
"Daily smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","18.4",""
"Daily smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","17.4",""
"Daily smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","9.7",""
"Daily smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","11.4",""
"Daily smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","12.2",""
"Daily smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","16.1",""
"Daily smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","16.1",""
"Daily smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","4.1",""
"Daily smoker","Hungary","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","32.9",""
"Daily smoker","Hungary","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","40.6",""
"Daily smoker","Hungary","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","36.0",""
"Daily smoker","Hungary","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","30.9",""
"Daily smoker","Hungary","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","17.7",""
"Daily smoker","Hungary","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","21.2",""
"Daily smoker","Hungary","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","25.4",""
"Daily smoker","Hungary","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","22.4",""
"Daily smoker","Hungary","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","28.5",""
"Daily smoker","Hungary","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","6.6",""
"Daily smoker","Malta","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","18.1",""
"Daily smoker","Malta","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","27.8",""
"Daily smoker","Malta","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","27.4",""
"Daily smoker","Malta","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","25.3",""
"Daily smoker","Malta","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","15.9",""
"Daily smoker","Malta","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","13.0",""
"Daily smoker","Malta","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","22.5",""
"Daily smoker","Malta","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","21.4",""
"Daily smoker","Malta","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","22.2",""
"Daily smoker","Malta","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","4.7",""
"Daily smoker","Netherlands","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","19.0",""
"Daily smoker","Netherlands","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","28.7",""
"Daily smoker","Netherlands","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","24.4",""
"Daily smoker","Netherlands","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","24.0",""
"Daily smoker","Netherlands","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","11.8",""
"Daily smoker","Netherlands","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","17.4",""
"Daily smoker","Netherlands","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","17.4",""
"Daily smoker","Netherlands","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","15.9",""
"Daily smoker","Netherlands","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","20.1",""
"Daily smoker","Netherlands","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","11.0",""
"Daily smoker","Austria","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","29.6",""
"Daily smoker","Austria","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","35.0",""
"Daily smoker","Austria","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","33.3",""
"Daily smoker","Austria","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","27.4",""
"Daily smoker","Austria","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","9.3",""
"Daily smoker","Austria","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","23.8",""
"Daily smoker","Austria","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","30.6",""
"Daily smoker","Austria","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","28.7",""
"Daily smoker","Austria","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","25.6",""
"Daily smoker","Austria","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","6.3",""
"Daily smoker","Poland","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","18.2",""
"Daily smoker","Poland","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","30.7",""
"Daily smoker","Poland","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","30.9",""
"Daily smoker","Poland","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","35.8",""
"Daily smoker","Poland","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","18.5",""
"Daily smoker","Poland","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","9.5",""
"Daily smoker","Poland","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","16.3",""
"Daily smoker","Poland","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","18.2",""
"Daily smoker","Poland","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","26.2",""
"Daily smoker","Poland","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","8.3",""
"Daily smoker","Portugal","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","18.1",""
"Daily smoker","Portugal","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","34.0",""
"Daily smoker","Portugal","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","28.9",""
"Daily smoker","Portugal","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","28.4",""
"Daily smoker","Portugal","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","7.4",""
"Daily smoker","Portugal","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","12.0",""
"Daily smoker","Portugal","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","18.0",""
